Merit,Dept.-Univ.
1,CSE-KUET
4,CSE-KUET
5,CSE-KUET
6,EEE-KUET
8,CSE-RUET
9,EEE-KUET
12,CSE-RUET
13,EEE-RUET
14,EEE-RUET
16,CSE-KUET
18,CSE-KUET
21,EEE-RUET
25,EEE-KUET
27,CSE-KUET
28,CSE-KUET
29,EEE-KUET
32,CSE-RUET
33,EEE-KUET
34,CSE-CUET
35,EEE-CUET
36,EEE-KUET
39,CSE-KUET
40,CSE-KUET
43,EEE-KUET
44,EEE-KUET
45,EEE-CUET
46,CSE-CUET
47,CSE-KUET
48,CSE-KUET
50,CSE-CUET
51,EEE-KUET
53,CSE-CUET
54,CSE-RUET
55,CSE-KUET
56,EEE-KUET
57,CSE-KUET
58,CSE-CUET
60,CSE-KUET
61,CSE-KUET
62,EEE-CUET
64,CSE-RUET
66,EEE-KUET
68,EEE-CUET
71,CSE-KUET
72,EEE-KUET
73,CSE-KUET
75,CSE-KUET
76,EEE-KUET
77,CSE-KUET
78,CSE-RUET
79,EEE-CUET
82,CSE-KUET
84,EEE-CUET
86,EEE-KUET
87,CSE-KUET
88,EEE-CUET
89,CSE-KUET
90,CSE-KUET
91,CSE-KUET
92,CSE-KUET
93,CSE-KUET
94,CSE-KUET
95,CSE-KUET
96,CSE-CUET
97,CSE-KUET
101,EEE-KUET
102,CSE-KUET
104,EEE-RUET
106,CSE-CUET
107,CSE-CUET
108,CSE-KUET
109,EEE-KUET
110,CSE-KUET
111,EEE-KUET
112,CSE-KUET
113,CSE-KUET
114,CSE-CUET
116,EEE-KUET
117,EEE-CUET
120,CSE-KUET
121,EEE-KUET
122,CSE-KUET
123,EEE-CUET
124,CSE-RUET
125,CSE-KUET
127,EEE-CUET
128,CSE-KUET
129,CSE-CUET
131,EEE-CUET
132,CSE-KUET
133,EEE-KUET
134,EEE-KUET
135,EEE-KUET
136,EEE-RUET
137,CSE-CUET
138,EEE-KUET
140,CSE-RUET
142,CSE-CUET
143,EEE-KUET
144,CSE-RUET
145,EEE-RUET
146,EEE-KUET
148,EEE-RUET
149,CSE-KUET
150,EEE-KUET
151,CSE-CUET
152,CSE-RUET
153,EEE-KUET
154,EEE-RUET
155,CSE-CUET
156,CSE-KUET
157,CSE-KUET
